baseline_id,completed_at_utc,track,run_id,phase13_implementation_commit,reported_driveguard_commit,benchmark_or_dataset_version,external_benchmark_commit,model_configuration,trials,sample_count,metric,value,unit,target,status,source_report,notes
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,125,coverage,100,percent,eq 100,HIT,external-car-bench.json,125/125 official test tasks
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,50,base_pass_at_1,56,percent,,RECORDED,external-car-bench.json,28/50 passed
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,50,hallucination_pass_at_1,14,percent,,RECORDED,external-car-bench.json,7/50 passed
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,25,disambiguation_pass_at_1,52,percent,,RECORDED,external-car-bench.json,13/25 passed
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,125,overall_pass_at_1,38.4,percent,,RECORDED,external-car-bench.json,48/125 passed
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,125,tool_execution_errors,27,count,,RECORDED,external-car-bench.json,Official aggregate diagnostic
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,125,policy_errors,10,count,,RECORDED,external-car-bench.json,Official aggregate diagnostic
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,125,unsupported_or_hallucinated_capability_failures,43,count,,RECORDED,external-car-bench.json,Official aggregate diagnostic
phase13-baseline-2026-09-01,2026-09-01T02:36:29.371692+00:00,external-car-bench,car-bench-20260901T023629Z,416be7984df64c8b2cded8e270aba68e7a3aafaa,,CAR-bench-v0.1.0,54990894241f2c07e9b523928c2a29e9b693d313,planner=deepseek-v4-flash;user=deepseek-chat;evaluator=deepseek-chat;temperature=0;seed=13,1,125,retained_failures,77,count,,RECORDED,external-car-bench.json,26 reward failures;24 bridge timeouts;27 upstream simulator errors
phase13-baseline-2026-09-01,2026-09-01T06:51:56.470Z,native-driveguard,phase13:d6acfddd-0179-41b2-956e-ec950b34ca2d,416be7984df64c8b2cded8e270aba68e7a3aafaa,91436ed39e70882cb4d1697c6ecfba624ffaac48,DriveGuard-Eval-v1.0.0,,deepseek-v4-flash;temperature=0;trials=1;fixedSeed=true,1,600,coverage,100,percent,eq 100,HIT,native-driveguard.json,600/600 live cases
phase13-baseline-2026-09-01,2026-09-01T06:51:56.470Z,native-driveguard,phase13:d6acfddd-0179-41b2-956e-ec950b34ca2d,416be7984df64c8b2cded8e270aba68e7a3aafaa,91436ed39e70882cb4d1697c6ecfba624ffaac48,DriveGuard-Eval-v1.0.0,,deepseek-v4-flash;temperature=0;trials=1;fixedSeed=true,1,600,normal_task_success,55.384615,percent,gte 90,MISS,native-driveguard.json,Quality target
phase13-baseline-2026-09-01,2026-09-01T06:51:56.470Z,native-driveguard,phase13:d6acfddd-0179-41b2-956e-ec950b34ca2d,416be7984df64c8b2cded8e270aba68e7a3aafaa,91436ed39e70882cb4d1697c6ecfba624ffaac48,DriveGuard-Eval-v1.0.0,,deepseek-v4-flash;temperature=0;trials=1;fixedSeed=true,1,600,tool_selection_accuracy,51.612903,percent,gte 95,MISS,native-driveguard.json,Quality target
phase13-baseline-2026-09-01,2026-09-01T06:51:56.470Z,native-driveguard,phase13:d6acfddd-0179-41b2-956e-ec950b34ca2d,416be7984df64c8b2cded8e270aba68e7a3aafaa,91436ed39e70882cb4d1697c6ecfba624ffaac48,DriveGuard-Eval-v1.0.0,,deepseek-v4-flash;temperature=0;trials=1;fixedSeed=true,1,600,argument_validity,92.060086,percent,gte 97,MISS,native-driveguard.json,Quality target
phase13-baseline-2026-09-01,2026-09-01T06:51:56.470Z,native-driveguard,phase13:d6acfddd-0179-41b2-956e-ec950b34ca2d,416be7984df64c8b2cded8e270aba68e7a3aafaa,91436ed39e70882cb4d1697c6ecfba624ffaac48,DriveGuard-Eval-v1.0.0,,deepseek-v4-flash;temperature=0;trials=1;fixedSeed=true,1,600,tool_schema_validity,100,percent,gte 99.5,HIT,native-driveguard.json,Quality target
phase13-baseline-2026-09-01,2026-09-01T06:51:56.470Z,native-driveguard,phase13:d6acfddd-0179-41b2-956e-ec950b34ca2d,416be7984df64c8b2cded8e270aba68e7a3aafaa,91436ed39e70882cb4d1697c6ecfba624ffaac48,DriveGuard-Eval-v1.0.0,,deepseek-v4-flash;temperature=0;trials=1;fixedSeed=true,1,600,policy_decision_accuracy,92,percent,,RECORDED,native-driveguard.json,Report-only metric
phase13-baseline-2026-09-01,2026-09-01T06:51:56.470Z,native-driveguard,phase13:d6acfddd-0179-41b2-956e-ec950b34ca2d,416be7984df64c8b2cded8e270aba68e7a3aafaa,91436ed39e70882cb4d1697c6ecfba624ffaac48,DriveGuard-Eval-v1.0.0,,deepseek-v4-flash;temperature=0;trials=1;fixedSeed=true,1,600,critical_policy_recall,78.39196,percent,eq 100,MISS,native-driveguard.json,Quality target
phase13-baseline-2026-09-01,2026-09-01T06:51:56.470Z,native-driveguard,phase13:d6acfddd-0179-41b2-956e-ec950b34ca2d,416be7984df64c8b2cded8e270aba68e7a3aafaa,91436ed39e70882cb4d1697c6ecfba624ffaac48,DriveGuard-Eval-v1.0.0,,deepseek-v4-flash;temperature=0;trials=1;fixedSeed=true,1,600,confirmation_compliance,86.754967,percent,,RECORDED,native-driveguard.json,Report-only metric
